Restaurant;Type de restaurant;Catégorie du restaurant;Adresse;Code postal;Commune;Code Insee de la Commune;latitude;longitude;Conctact-téléphone-fixe;Adresse e-Mail;Url du site web;Plateforme/url.;Animal_accepté;Service(s) proposé(s) sur l'équipement;Langue(s) parlée(s) à l'accueil;Horaires d'ouvertures;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
Brandolini;Restaurant;Cuisine du Monde;17 rue Valdemaine;49100;ANGERS;49007;47.47303;-0.55209;;pbrest@brandolini.fr;https://www.facebook.com/pg/brandolini.angers/about/?ref=page_internal;Instagram||https://www.instagram.com/brandolini_angers/?hl=fr;oui;Plats à emporter;Anglais,Français;"30/10/2020||31/12/2021||||||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00|||||||| ; 01/01/2022||12/08/2022||||||11:30||14:30||||||11:30||14:30||||||11:30||14:30||||||11:30||14:30||19:00||21:00||11:30||14:30||19:00||21:00||11:30||14:30|||||||||||| ; 22/08/2022||31/12/2022||||||11:30||14:30||||||11:30||14:30||||||11:30||14:30||||||11:30||14:30||19:00||21:00||11:30||14:30||19:00||21:00||11:30||14:30|||||||||||| ; 01/01/2023||31/12/2023||||||12:00||14:30||||||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||||||||||||";;Cartes bancaires,Espèces,Tickets Restaurant;47.47303, -0.55209;Maine-et-Loire
BRASSERIE AMPHITRYON - HOTEL CONCORDIA;Hôtel restaurant;Restaurant gastronomique - cuisine raffinée;16 avenue du Général Leclerc;72000;LE MANS;72181;48.000438;0.19664496;02 43 24 12 30;concordiahotel@orange.fr;;Facebook||https://www.facebook.com/amphitryonlemans;oui;Banquet,Plats à emporter,Séminaire,Service en terrasse,Traiteur,WiFi;Anglais,Espagnol,Français;;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;48.000438, 0.19664496;Sarthe
Brasserie Au bon coin;Restaurant;Brasserie;Place Jeanne de Laval;49350;GENNES-VAL-DE-LOIRE;49261;47.350281;-0.225855;02 41 51 80 45;;https://au-bon-coin-pmu.business.site/;Facebook||https://www.facebook.com/pg/AuboncoinBarBrasserieLesRosierssurloire/about/?ref=page_internal;oui;Plats à emporter,Service en terrasse;Français;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Cartes bancaires;47.350281, -0.225855;Maine-et-Loire
Brasserie Bar Le Piccadilly;Restaurant;Brasserie;17 à 19 place de la Bilange;49400;SAUMUR;49328;47.260637;-0.077988;02 41 03 89 77;;;;oui;Chaise haute / Réhausseur,Service en terrasse;Français;02/01/2024||31/12/2024||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Cartes bancaires,Tickets Restaurant;47.260637, -0.077988;Maine-et-Loire
BRASSERIE FÉLIX;Restaurant;Brasserie;1 rue Lefèvre-Utile;44000;NANTES;44109;47.2144498;-1.5436808;02 40 34 15 93;;http://www.brasseriefelix.com;;oui;Plats à emporter,Service en terrasse,WiFi;Anglais,Français;;;Cartes bancaires,Espèces,Tickets Restaurant;47.2144498, -1.5436808;Loire-Atlantique
Brasserie Le Saint-Benoit;Restaurant;Brasserie;Avenue Paul Prosper Guilhem;49070;BEAUCOUZE;49020;47.46883;-0.61615;02 41 43 88 69;contact@brasserie-lesaintbenoit.fr;http://brasserie-lesaintbenoit.fr/;;oui;Service en terrasse,WiFi;Français;"01/01/2023||31/12/2023||||||12:00||15:00||||||12:00||15:00||||||12:00||15:00||||||12:00||15:00||19:30||23:30||12:00||15:00||19:30||23:30||12:00||15:00||19:00||00:00|||||||| ; 01/01/2024||31/12/2024||||||||||||||12:00||14:00||19:30||21:45||12:00||14:00||19:30||21:45||12:00||14:00||19:30||21:45||12:00||14:00||19:30||21:45||12:00||14:00||19:00||21:45||||||||";;Tout;47.46883, -0.61615;Maine-et-Loire
BRIOCHE DORÉE;Restaurant;Restauration rapide;6 rue François Marceau;44600;SAINT-NAZAIRE;44184;47.2760121;-2.2070775;;;www.briochedoree.com;;oui;Plats à emporter;Anglais,Français;01/01/2024||31/12/2024||Ouvert du lundi au samedi||Fermé le dimanche ||08:00||||||20:00||08:00||||||20:00||08:00||||||20:00||08:00||||||20:00||08:00||||||20:00||08:00||||||20:00||||||||;;Cartes bancaires,Chèques Vacances,Tickets Restaurant;47.2760121, -2.2070775;Loire-Atlantique
Burger King;Restaurant;Restauration rapide;169 rue de Lorraine;49300;CHOLET;49099;47.05581;-0.85951;02 85 10 00 38;elacassagne@orange.fr;https://www.burgerking.fr/;;oui;Service en terrasse,WiFi;Français;"01/01/2024||31/12/2024||||||11:00||22:30||||||11:00||22:30||||||11:00||22:30||||||11:00||22:30||||||11:00||23:00||||||11:00||23:00||||||11:00||22:30|||| ; 01/01/2025||31/12/2025||||||11:00||22:30||||||11:00||22:30||||||11:00||22:30||||||11:00||22:30||||||11:00||23:00||||||11:00||23:00||||||11:00||22:30||||";;Chèques Vacances;47.05581, -0.85951;Maine-et-Loire
CAFÉ BONDU;Restaurant;Guinguette;Chemin de l'Asnerie;49290;CHALONNES-SUR-LOIRE;49063;47.3558502;-0.7626595;;;;Facebook||https://www.facebook.com/jeannejessynana/;oui;Service en terrasse;Français;;;Cartes bancaires,Chèques bancaires et postaux;47.3558502, -0.7626595;Maine-et-Loire
CAFÉ CHEZ NADINE;Restaurant;Cuisine traditionnelle;10 Rue Voltaire;44550;MONTOIR-DE-BRETAGNE;44103;47.3274314;-2.155902;02 40 45 42 65;nadinepicard15@gmail.com;;;oui;Service en terrasse;Tout;02/01/2024||31/12/2024||Ouvert du lundi au vendredi||Fermé le samedi et dimanche||08:00||||||20:00||08:00||||||20:00||08:00||||||20:00||08:00||||||20:00||08:00||||||20:00||||||||||||||||;;Tout;47.3274314, -2.155902;Loire-Atlantique
Café des Marais;Restaurant;Général;12 Rue de Léniphen;44350;GUERANDE;44069;47.29502;-2.43415;02 51 10 85 25;;;;oui;Service en terrasse;Tout;01/01/2024||31/12/2024||||||08:00||15:00||17:00||20:30||08:00||15:00||17:00||20:30||08:00||15:00||17:00||20:30||08:00||15:00||17:00||20:30||08:00||15:00||17:00||20:30||08:00||15:00||17:00||20:30||||||||;;Tout;47.29502, -2.43415;Loire-Atlantique
CAFÉ DU MUSÉE;Hôtel restaurant;Général;10 rue Georges Clemenceau;44100;NANTES;44109;47.2195345;-1.5474903;02 51 12 93 09;contact@cafedumusee.fr;www.cafedumusee.fr;;oui;;Tout;;;Tout;47.2195345, -1.5474903;Loire-Atlantique
Café du Port;Restaurant;Général;4 quai Saint-Pierre;44420;LA TURBALLE;44211;47.34772;-2.51182;02 40 23 30 63;plemele@yahoo.fr;;;oui;;Tout;;;Tout;47.34772, -2.51182;Loire-Atlantique
Café PMU;Restaurant;Général;11 rue du Maréchal de Lattre de Tassigny;44420;LA TURBALLE;44211;47.34743;-2.5087;02 40 23 52 13;;;;oui;;Tout;;;Tout;47.34743, -2.5087;Loire-Atlantique
CAFÉ POPOTE;Restaurant;Cuisine traditionnelle;36 boulevard de l'Université - Océanis;44600;SAINT-NAZAIRE;44184;47.2551201;-2.2676762;02 51 73 91 40;vdenis22@yahoo.fr;;Facebook||https://www.facebook.com/Caf%C3%A9-Popote-1666025060282572/;oui;Plats à emporter,Service en terrasse,WiFi;Français;"01/01/2024||31/12/2024||Ouvert tous les midis du lundi au vendredi||Fermé tous les soirs + samedi et dimanche||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30|||||||||||||||||||| ; ||||||||08:30||||15:00||||08:30||||15:00||||08:30||||15:00||||08:30||||15:00||||08:30||||15:00||||||||||||||||||";;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.2551201, -2.2676762;Loire-Atlantique
CHEZ ALICE;Restaurant;Restauration rapide;33 rue du Général Leclerc;44390;NORT-SUR-ERDRE;44110;47.4385762;-1.4994218;02 72 02 35 97;;;Facebook||https://www.facebook.com/chez.alice.manu/;oui;Plats à emporter,Service en terrasse;Français;;;Chèques bancaires et postaux;47.4385762, -1.4994218;Loire-Atlantique
Chez Big Boy;Restaurant;Général;1 place de la Roche-Vernet;44510;LE POULIGUEN;44135;47.27419;-2.42561;09 53 91 03 39;pascal.poli12@orange.fr;;;oui;;Tout;;;Tout;47.27419, -2.42561;Loire-Atlantique
CHEZ CATHY;Restaurant;Cuisine traditionnelle;6 rue des Rosiers;72290;CONGE-SUR-ORNE;72088;48.1998436;0.2535729;02 43 97 42 39;cathyjoubert@wanadoo.fr;;;oui;Banquet,Plats à emporter,Service en terrasse;Français;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;48.1998436, 0.2535729;Sarthe
Chez La grenouille - Bar le Bélem;Restaurant;Brasserie;30 rue Sainte Catherine;44160;PONTCHATEAU;44129;47.43593;-2.08984;02 40 15 49 64;patrice.gendron@gmail.com;;;oui;;Tout;;;Tout;47.43593, -2.08984;Loire-Atlantique
CHEZ LENNON;Restaurant;Salon de thé;4 Rue de la Chapelle;44650;LEGE;44081;46.88488;-1.59725;02 55 10 30 63;chelennon44@gmail.com;;Facebook||https://www.facebook.com/profile.php?id=61564066537687;oui;;Tout;01/10/2024||31/12/2025||||||||||||||09:00||18:00||||||09:00||18:00||||||09:00||22:00||||||09:00||22:00||||||10:00||22:00||||||||||||;;Tout;46.88488, -1.59725;Loire-Atlantique
Chez Minh - Toussaint;Restaurant;Cuisine du Monde;7 rue Toussaint;49100;ANGERS;49007;47.4698;-0.55483;02 41 88 33 75;;;;oui;Plats à emporter;Français;01/01/2024||31/12/2024||||||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||||||||;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.4698, -0.55483;Maine-et-Loire
Chez Monsieur Cochon;Restaurant;Grill - Rôtisserie;6 rue de la Paix;44410;HERBIGNAC;44072;47.44622;-2.31871;02 40 88 99 85;chezmonsieurcochon@orange.fr;http://www.chezmonsieurcochon.com;;oui;Séminaire,Service en terrasse,WiFi;Allemand,Anglais;01/01/2024||31/12/2024||||||||||||||||||||||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00;Menu enfant||9,00||||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.44622, -2.31871;Loire-Atlantique
CHEZ PHUONG;Restaurant;Cuisine du Monde;70 boulevard de Linz;44210;PORNIC;44131;47.1218;-2.11298;02 40 21 86 12;pierre@csaviation.fr;https://chezphuong.wixsite.com/chezphuong;;oui;Plats à emporter,Traiteur,WiFi;Tout;;;Cartes bancaires,Espèces,Tickets Restaurant;47.1218, -2.11298;Loire-Atlantique
Chez Pont-Pont;Restaurant;Brasserie;13 Promenade du Bout du Monde;49100;ANGERS;49007;47.47029;-0.55821;02 41 17 40 03;chezpontpont@gmail.com;http://chezpontpont.fr;Facebook||https://www.facebook.com/chezpontpontangers/ ;oui;Service en terrasse;Anglais,Français;"01/01/2023||31/12/2023||||||10:00||01:30||||||10:00||01:30||||||10:00||01:30||||||10:00||01:30||||||10:00||01:30||||||10:00||01:30||||||10:00||01:30|||| ; 01/01/2024||31/12/2024||||||10:00||01:30||||||10:00||01:30||||||10:00||01:30||||||10:00||01:30||||||10:00||01:30||||||10:00||01:30||||||10:00||01:30|||| ; 01/01/2025||31/12/2025||||||10:00||01:30||||||10:00||01:30||||||10:00||01:30||||||10:00||01:30||||||10:00||01:30||||||10:00||01:30||||||10:00||01:30||||";Menu adulte du jour (midi en semaine)||16,90||||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.47029, -0.55821;Maine-et-Loire
CHEZ ROSELYNE - LE BROC CAFÉ;Restaurant;Fruits de mer;10 place Athanase Laborde;44600;SAINT-NAZAIRE;44184;47.2712064;-2.2186825;;;;;oui;;Français;01/01/2024||31/12/2024||Ouvert du mardi au dimanche||Fermé le lundi||||||||||09:00||||||17:00||10:30||||||17:00||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00;;Cartes bancaires,Chèques bancaires et postaux;47.2712064, -2.2186825;Loire-Atlantique
Chez Yoyo;Restaurant;Cuisine traditionnelle;87 rue du Maréchal Juin;44420;LA TURBALLE;44211;47.34842;-2.51185;02 40 62 87 87;chezyoyo.laturballe@gmail.com;https://fr-fr.facebook.com/pages/category/Restaurant/Restaurant-Chez-Yoyo-164385167737573/;;oui;;Tout;;;Tout;47.34842, -2.51185;Loire-Atlantique
COM A LA MAISON;Restaurant;Brasserie;7 Rue Jules Verne ZA de Grand Lieu;44310;SAINT-PHILBERT-DE-GRAND-LIEU;44188;47.05328;-1.63255;02 28 27 05 45;titia.thabard@orange.fr;;;oui;Séminaire,Service en terrasse;Anglais,Français;01/01/2024||31/12/2024||Du lundi au vendredi le midi. ||Fermé samedi et dimanche. Fermé le soir.||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Tout;47.05328, -1.63255;Loire-Atlantique
CREPERIE L'ATELIER DELICES;Restaurant;Crêperie;La Hunaudière;44590;SION-LES-MINES;44197;47.7144264;-1.530302;02 40 28 45 85;anthony.roussel039@orange.fr;;;oui;Service en terrasse;Tout;"||||||Du 1er avril au 30 septembre : fermé le lundi|||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; ||||||du 1er octobre au 31 mars: Ouvert du vendredi au dimanche||||||||||||||||||||||||||||||||||||||||||||||||||||||||";Menu adulte du jour (midi en semaine)||11,90||13,50||;Tout;47.7144264, -1.530302;Loire-Atlantique
Crêperie - Breizh;Restaurant;Crêperie;16 rue du Centre;44510;LE POULIGUEN;44135;47.27665;-2.42922;02 40 62 26 26;condos.centre44@gmail.com;;;oui;Service en terrasse,WiFi;Anglais;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.27665, -2.42922;Loire-Atlantique
CRÊPERIE DE BROCÉLIANDE;Général;Crêperie;3 rue de Guérande;44000;NANTES;44109;47.214068;-1.5589786;02 40 89 04 03;;;;oui;Service en terrasse;Tout;;;Cartes bancaires,Tickets Restaurant;47.214068, -1.5589786;Loire-Atlantique
Crêperie La Bigouden;Restaurant;Crêperie;67 rue Saint Nicolas;49400;SAUMUR;49328;47.261087;-0.08058;02 41 67 12 59;bigouden.saumur@wanadoo.fr;;Google+||https://maps.google.com/?cid=12853523425037963703 ;oui;Chaise haute / Réhausseur,Plats à emporter,Service en terrasse;Anglais,Français;09/02/2024||14/12/2024||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Cartes bancaires,Tickets Restaurant;47.261087, -0.08058;Maine-et-Loire
Crêperie Le Roc Maria;Restaurant;Crêperie;1 rue du vieux Marché aux grains;44350;GUERANDE;44069;47.32759;-2.42952;02 40 24 90 51;roc-maria@orange.fr;http://www.hotel-creperie-rocmaria.com;;oui;Service en terrasse,WiFi;Allemand,Anglais;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.32759, -2.42952;Loire-Atlantique
Crêperie Saint-Nicolas;Restaurant;Crêperie;1, rue de Fourbihan;44420;LA TURBALLE;44211;47.3478238;-2.4940656;02 40 23 32 52;contact@lacreperiesaintnicolas.fr;http://www.lacreperiesaintnicolas.fr/;;oui;;Tout;;;Tout;47.3478238, -2.4940656;Loire-Atlantique
Crêperie Suzette;Restaurant;Crêperie;1 Pl. Delaroche Vernet;44510;LE POULIGUEN;44135;47.27409;-2.42531;02 40 24 27 84;hiernard.bai@gmail.com;;;oui;Service en terrasse,WiFi;Tout;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Tout;47.27409, -2.42531;Loire-Atlantique
Côté Crêpes;Restaurant;Crêperie;30 avenue du Général de Gaulle;44500;LA BAULE-ESCOUBLAC;44055;47.28304;-2.39204;02 40 24 59 76;michelgastine@orange.fr;;;oui;Service en terrasse;Tout;01/01/2024||31/12/2024||||||12:00||19:00||||||12:00||21:00||||||12:00||21:00||||||12:00||19:00||||||12:00||19:00||||||12:00||21:00||||||12:00||19:00||||;;Tout;47.28304, -2.39204;Loire-Atlantique
DILEMME;Restaurant;Général;24 rue Jean Jaurès;44100;NANTES;44109;47.218484;-1.5617049;02 85 37 87 89;;www.restaurantledilemme.fr;;oui;;Tout;;;Tout;47.218484, -1.5617049;Loire-Atlantique
DOLCE CAFFE;Restaurant;Bistrot / bar à vin;2 place Notre Dame;44190;CLISSON;44043;47.087422;-1.2816291;02 40 04 69 13;;;;oui;;Anglais,Français,Italien;||||Les après midi de 15h à 19h les jours fériés et tous les jours pendant les vacances scolaires||||||||||||12:00||15:00||||||12:00||15:00||||||12:00||15:00||||||12:00||15:00||||||12:00||15:00||15:00||19:00||||||15:00||19:00;;Cartes bancaires,Tickets Restaurant;47.087422, -1.2816291;Loire-Atlantique
DOMINO'S PIZZA;Restaurant;Restauration rapide;1 Place du champ de Foire;44390;NORT-SUR-ERDRE;44110;47.4377231;-1.5001569;02 28 24 44 44;digital.fr@dominos.fr;;Facebook||https://www.facebook.com/Dominos-Pizza-2319614351439619;oui;;Tout;;;Tout;47.4377231, -1.5001569;Loire-Atlantique
Douceurs et Curiosités;Général;Coffee-shop;3 rue Foullon;49700;DOUE-EN-ANJOU;49125;47.194077;-0.2766;06 22 61 37 07;;;Facebook||https://www.facebook.com/Douceurs-et-Curiosit%C3%A9s-101569672122749/;oui;;Français;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Tout;47.194077, -0.2766;Maine-et-Loire
Eco-Domaine La Fontaine - Les Tables de La Fontaine;Restaurant;Cuisine traditionnelle;Rue des Noëlles;44210;PORNIC;44131;47.10259;-2.07074;02 51 74 08 08;infos@ecodomaine-la-fontaine.fr;https://www.ecodomaine-la-fontaine.fr/les-tables-de-la-fontaine/;;non;Banquet,Séminaire,WiFi;Tout;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.10259, -2.07074;Loire-Atlantique
Eco-Domaine La Fontaine - Salon de Thé;Restaurant;Salon de thé;Rue des Noëlles;44210;PORNIC;44131;47.10259;-2.07074;02 51 74 08 08;infos@ecodomaine-la-fontaine.fr;http://www.ecodomaine-la-fontaine.fr;;non;Banquet,Séminaire,WiFi;Tout;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.10259, -2.07074;Loire-Atlantique
Entre Terre et Mer;Restaurant;Cuisine traditionnelle;66 boulevard des Océanides;44380;PORNICHET;44132;47.26522;-2.34408;02 51 73 13 13;;https://www.hotelibis-pornichet.com;;oui;WiFi;Allemand,Anglais;;;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.26522, -2.34408;Loire-Atlantique
ETIENNE COFFEE AND SHOP;Restaurant;Coffee-shop;2 RUE DE LA PAIX ET DES ARTS;44600;SAINT-NAZAIRE;44184;47.2766706;-2.2092488;09 80 68 00 20;saint-nazaire@etienne-coffeeshop.com;https://www.facebook.com/etiennecoffeeshopstnazaire;Facebook||https://www.facebook.com/etiennecoffeeshopstnazaire;oui;Climatisation,Plats à emporter,Service en terrasse,WiFi;Tout;01/01/2024||31/12/2024||Ouvert du lundi au samedi||Fermé le dimanche||08:30||||||19:30||08:30||||||19:30||08:30||||||19:30||08:30||||||19:30||08:30||||||19:30||08:30||||||19:30||||||||;;Cartes bancaires,Espèces;47.2766706, -2.2092488;Loire-Atlantique
Fika;Restaurant;Salon de thé;70, Rue du Mail;49100;ANGERS;49007;47.47276;-0.54974;;la.fika.angers@gmail.com;;Facebook||https://www.facebook.com/profile.php?id=100095106473465 ;oui;Chaise haute / Réhausseur,Plats à emporter,Service en terrasse,Traiteur,WiFi;Anglais,Français;"01/10/2023||31/12/2023||||||||||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||10:30||16:00|||| ; 01/01/2024||31/12/2024||||||||||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00|||||||||||| ; 01/01/2025||31/12/2025||||||||||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||||||||";Plats à la carte||3,50||8,50||;Cartes bancaires,Espèces,Tickets Restaurant;47.47276, -0.54974;Maine-et-Loire
Fishbone;Restaurant;Général;18 Quai Jules Sandeau;44510;LE POULIGUEN;44135;47.27674;-2.42797;02 40 42 31 84;contact@fishbonelepouliguen.fr;https://www.fishbonelepouliguen.fr/;;oui;Service en terrasse,WiFi;Anglais;01/01/2024||31/12/2024||||||17:00||02:00||||||17:00||02:00||||||17:00||02:00||||||17:00||02:00||||||17:00||02:00||||||17:00||02:00||||||11:00||02:00||||;;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.27674, -2.42797;Loire-Atlantique
FOOD TRUCK  ABUELITA;Restaurant;Restauration rapide;Place Bougainville;44250;SAINT-BREVIN-LES-PINS;44154;47.247906;-2.14668;;abuelita.aurelie@gmail.com;;;oui;Plats à emporter;Anglais;15/02/2022||15/11/2022||Horaires actualisées tous les mois sur Facebook : Galette Saucisse Abuelita||||||||||||||||||||||||||||||||||||||||||||||||||||12:00||20:00||||;;Cartes bancaires;47.247906, -2.14668;Loire-Atlantique
Food Truck - Les Nounouilles;Food Truck;Restauration rapide;Lieu-dit L'Audace;44370;LOIREAUXENCE;44213;47.3848207;-1.0290776;;;;;oui;;Tout;;;Tout;47.3848207, -1.0290776;Loire-Atlantique
FOODTRUCK LE RÉFOLO;Restaurant;Cuisine traditionnelle;Chemin de la Marine;44250;SAINT-BREVIN-LES-PINS;44154;47.23493;-2.1784;06 84 74 81 70;flo.octavie@gmail.com;;;oui;Plats à emporter;Tout;;;Tout;47.23493, -2.1784;Loire-Atlantique
Fricot;Restaurant;Restaurant gastronomique - cuisine raffinée;7 bis boulevard Foch;49100;ANGERS;49007;47.469146;-0.548849;02 41 69 16 66;fricot.restaurant@gmail.com;;Facebook||https://www.facebook.com/fricotrestaurant/ ;oui;Climatisation;Français;"01/01/2023||31/12/2023||||||||||||||12:15||14:00||||||12:15||14:00||||||12:15||14:00||||||12:15||14:00||19:30||21:00||12:15||14:00|||||||||||| ; 01/01/2024||31/12/2024||||||||||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||19:00||22:00||12:00||14:00|||||||||||| ; 01/01/2025||31/12/2025||||||||||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||19:00||22:00||12:00||14:00||||||||||||";Plats à la carte||17,00||43,00||;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.469146, -0.548849;Maine-et-Loire
GANG OF PIZZA;Restaurant;Restauration rapide;3 Rue des Templiers;44360;VIGNEUX-DE-BRETAGNE;44217;47.32676;-1.73839;;contact@gangofpizza.fr;https://www.gangofpizza.com/;Facebook||https://www.facebook.com/gangofpizza/ ;oui;;Tout;;;Tout;47.32676, -1.73839;Loire-Atlantique
Gribiche;Restaurant;Restaurant gastronomique - cuisine raffinée;9 rue Max Richard;49000;ANGERS;49007;47.4659;-0.55805;02 41 19 14 48;restaurant.gribiche@gmail.com;;Facebook||https://www.facebook.com/GribicheAngers;oui;Climatisation,Service en terrasse,WiFi;Anglais,Français;"03/01/2022||23/12/2022||||||12:00||13:00||19:30||21:00||12:00||13:00||19:30||21:00||12:00||13:00||||||12:00||13:00||19:30||21:00||12:00||13:00||20:00||20:45|||||||||||||||| ; 04/01/2023||31/12/2023||||||12:00||13:00||19:30||21:00||12:00||13:00||19:30||21:00||12:00||13:00||||||12:00||13:00||19:30||21:00||12:00||13:00||19:30||21:00|||||||||||||||| ; 01/01/2024||31/12/2024||||||12:00||13:00||19:30||21:00||12:00||13:00||19:30||21:00||12:00||13:00||||||12:00||13:00||19:30||21:00||12:00||13:00||19:30||21:00||||||||||||||||";;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.4659, -0.55805;Maine-et-Loire
Guinguette Au coin de la rue;Restaurant;Guinguette;Place de l'Église;53270;BLANDOUET-SAINT JEAN;53228;48.0516471;-0.3282148;;tousaucoindelarue@gmail.com;;;oui;Service en terrasse;Anglais,Français;26/04/2024||31/08/2024||Ouverture le vendredi soir et samedi matin||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Tout;48.0516471, -0.3282148;Mayenne
Guinguette du Port Albert;Restaurant;Guinguette;Port Albert;49460;FENEU;49135;47.56648;-0.61157;02 41 60 81 15;guinguettedefeneu@gmail.com;https://www.facebook.com/guinguettedefeneu/;;oui;Service en terrasse;Français;"07/04/2023||15/10/2023||||||||||||||||||||||||||||||||||||||18:30||22:00||||||11:00||22:00||||||11:00||18:00|||| ; 01/07/2024||15/09/2024||||||12:00||21:00||||||12:00||21:00||||||12:00||21:00||||||12:00||21:00||||||12:00||21:00||||||12:00||21:00||||||12:00||21:00||||";;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.56648, -0.61157;Maine-et-Loire
GUINGUETTE FERME DE BEAU SOLEIL;Restaurant;Guinguette;1 Lieu-dit le moulin des Landes;44690;MAISDON-SUR-SEVRE;44088;47.113861;-1.397786;;claire.gallon@gmail.com;www.beausoleildeslandes.com;;oui;;Tout;01/08/2024||31/08/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Tout;47.113861, -1.397786;Loire-Atlantique
Guinguette La Gabare;Restaurant;Guinguette;Avenue de la Boire Salée;49130;LES PONTS-DE-CE;49246;47.42457;-0.52861;02 85 35 97 47;contact.loirevallee@slow-village.fr;https://www.slow-village.fr/loire-vallee/restauration/;;oui;Service en terrasse;Anglais,Français;"01/06/2023||30/06/2023||||||||||||||||||||||||||||||17:00||22:00||||||17:00||22:00||||||12:00||14:00||17:00||22:00||12:00||14:00||17:00||22:00 ; 01/07/2023||31/08/2023||||||12:00||14:00||17:00||22:00||12:00||14:00||17:00||22:00||12:00||14:00||17:00||22:00||12:00||14:00||17:00||22:00||12:00||14:00||17:00||22:00||12:00||14:00||17:00||22:00||12:00||14:00||17:00||22:00 ; 12/04/2024||30/04/2024|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/05/2024||30/06/2024|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/07/2024||31/08/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.42457, -0.52861;Maine-et-Loire
Guinguette la Parenthèse;Restaurant;Guinguette;le gué de Mazé;49630;MAZE-MILON;49194;47.4500058;-0.2835395;;la_parenthese@icloud.com;;Facebook||https://www.facebook.com/profile.php?id=100082979244769;oui;Service en terrasse;Tout;26/04/2024||28/09/2024||||||||||||||||||||||10:30||23:30||||||10:30||23:30||||||10:30||23:30||||||10:30||23:30||||||10:30||23:30||||;Plats à la carte||10,00||17,00||;Cartes bancaires,Espèces;47.4500058, -0.2835395;Maine-et-Loire
